Question,Option A,Option B,Option C,Option D,Correct Answer,Points
In which year did the Kanpur Bolshevik Conspiracy take place?,1920 AD,1924 AD,1928 AD,1930 AD,b,1
The New Integrated Kanpur Industrial Development Authority (NIDIDA) township is being developed between which two cities?,Kanpur Nagar and Allahabad,Kanpur Nagar and Lucknow,Kanpur Nagar and Unnao,Kanpur Nagar and Agra,c,1
"Match the following: 
I. Sulhkul Utsav 
II. Bateshwar Fair
III. Harappan Site Alamgirpur
IV. Major Dhyanchand Sports University

A. Meerut 
B. Agra","I-A, II-B, III-A, IV-B","I-B, II-B, III-A, IV-A","I-A, II-A, III-B, IV-B","I-B, II-A, III-A, IV-B",b,1
"The Bateshwar Fair, known for its cattle and camel trading, is held in which city?",Meerut,Kanpur,Agra,Lucknow,c,1
"Where is Alamgir, considered the easternmost extension site of the Harappan civilization, situated?",Agra,Kanpur,Meerut,Lucknow,c,1
Who was the builder of the Sardhana Church?,Queen Victoria,Begum Samrudwara,Rani Lakshmi Bai,Jodha Bai,b,1
What is the popular nickname for Meerut?,City of Joy,Manchester of India,'Sports City of India',Valledar City,c,1
On which riverbank is Kanpur situated?,Yamuna River,Gomti River,on the south bank of the Ganges River,Saryu River,c,1
Who were the key figures in Kanpur during the revolution of 1857?,Mangal Pandey and Tantia Tope,Nana Saheb Peshwa and Kunwar Singh,Nana Saheb Peshwa and Tatya Tope,Kunwar Singh and Mangal Pandey,c,1
"Match the following fairs with the cities they are held in:

Column I
(A) Sulhkul Utsav
(B) Bateshwar Fair
(C) Nauchandi Sardhana Fair

Column II
(1) Meerut
(2) Agra

Options:
","A-2, B-1, C-2","A-2, B-2, C-1","A-1, B-2, C-2","A-1, B-1, C-2",b,1
"The Bateshwar Fair, recognized as a cattle and camel fair, is held in which city?",Kanpur,Meerut,Agra,Unnao,c,1
"What is the name of the bird sanctuary located at Keetham Lake, which is also a Ramsar site?",Nauchandi Bird Sanctuary,Sur Sarovar Bird Sanctuary,Bateshwar Bird Sanctuary,Alamgir Bird Sanctuary,b,1
Which city holds the position of the second-largest sports goods production center in India?,Kanpur,Agra,Meerut,Jalandhar,c,1
By what nickname is Meerut commonly known?,Leather City of India,Manchester of India,Sports City of India,Industrial Capital of UP,c,1
In which city is the state's first integrated green city road being constructed?,Kanpur,Agra,Lucknow,Meerut,d,1
"What is the alternative name for Keetham Lake, recognized as a bird sanctuary and a Ramsar site?",Nauchandi Bird Sanctuary,Sur Sarovar Bird Sanctuary,Hastinapur Bird Sanctuary,Bateshwar Bird Sanctuary,b,1
Where is the Central Leprosy Institute situated?,Meerut,Kanpur,Agra,Lucknow,c,1
Who commissioned the construction of the Sardhana Church?,Nana Saheb Peshwa,Tatya Tope,Begum Samrudwara,Lord Dalhousie,c,1
Meerut is renowned as the second largest production center in India for which type of goods?,Textile goods,Electronic goods,Sports goods,Leather goods,c,1
"Where is the branch of the Central Potato Research Institute, Shimla, located in Uttar Pradesh?",Sardhana,Modipuram (Meerut),Hastinapur,Alamgir,b,1
On which riverbank is Kanpur city located?,Yamuna River,Gomti River,Ganges River,Saryu River,c,1
"Match the following cities with their associated facts:

Column I
(A) Agra
(B) Meerut
(C) Kanpur

Column II
(1) Sports City of India
(2) Sulhkul Utsav
(3) Manchester of India

Options:","A-1, B-2, C-3","A-2, B-1, C-3","A-3, B-2, C-1","A-2, B-3, C-1",b,1
In which city is the Indian Institute of Sugar Technology located?,Chennai,Lucknow,Kanpur,Mahoba,c,1
Where is the Indian Pulses Research Institute situated?,Chennai,Kanpur,Farrukhabad,Mahoba,b,1
Artificial Limbs Manufacturing Limited is located in which city?,Chennai,Mahoba,Kanpur,Farrukhabad,c,1
What is the speciality of Allen Forest Zoological Park?,Largest Zoological Park in Asia,India's third largest zoological park,Oldest Zoological Park in India,Home to rare species of birds,b,1
The Makanpur Fair (Bilhaur) is a major fair held in which district?,Mahoba,Farrukhabad,Kanpur,Lucknow,c,1
Which place has been included as a religious place in the Ramayana Circuit?,Makanpur,Kampilya,Bithoor,Mahotsavpur,c,1
What was the original name of Mahoba?,Kirat Sagar,Madan Sagar,Mahotsavpur,Vijay Sagar,c,1
In which year did Prithviraj Chauhan snatch Mahoba from King Parmal?,1192,1182,1092,1082,b,1
Which of the following is NOT a main lake/ocean of Mahoba?,Madan Sagar,Kirat Sagar,Vijay Sagar,Govind Sagar,d,1
"To which district did Alha Udal, the brave warrior of the Chandel period, belong?",Kanpur,Farrukhabad,Mahoba,Lucknow,c,1
On the banks of which sea is the Sun Temple (9th century) located in Mahoba?,Kirat Sagar,Madan Sagar,Vijay Sagar,Beltal,b,1
In which year was Vijay Sagar Bird Sanctuary established in Mahoba?,1980,2000,1990,1970,c,1
Where is the Betel Research and Training Centre located?,Kanpur,Farrukhabad,Mahoba,Lucknow,c,1
The betel leaf of which district has recently been given the GI tag?,Kanpur,Farrukhabad,Mahoba,Lucknow,c,1
Farrukhabad district was established by Nawab Mohammad Khan Bangash in whose name?,Akbar,Shah Jahan,Farrukhsiyar,Aurangzeb,c,1
Kampilya was the capital of which Mahajanapada?,Kuru,South Panchal,Magadh,Kosala,b,1
"What is the birthplace of Vimalnath, the 13th Tirthankara of Jainism?",Sankisa,Mahotsavpur,Kapilya,Bithoor,c,1
Which place was described by the Chinese traveler Fa Hien as the biggest pilgrimage site for the followers of Buddhism?,Kapilya,Mahotsavpur,Sankisa,Bithoor,c,1
Farrukhabad is mainly famous for which crafting?,Pottery,Silk weaving,Brass and wooden dies for block printing,Carpet making,c,1
Who snatched Mahoba from King Parmal in 1182?,Nawab Mohammad Khan Bangash,Alha Udal,Fa Hien,Prithviraj Chauhan,d,1
The Central Leather Research Institute (Chennai unit) is located in which of the following cities according to the text?,Chennai,Mahoba,Kanpur,Farrukhabad,c,1
In which district is Vijay Sagar Bird Sanctuary (1990) located?,Kanpur,Farrukhabad,Mahoba,Chennai,c,1
Which Mahajanapada had Kampilya as its capital?,South Panchalki,North Panchalki,Kosala,Magadha,a,1
Which of the following is NOT located in Kanpur?,Indian Pulses Research Institute,Artificial Limbs Manufacturing Limited,Central Leather Research Institute (Chennai unit),Betel Research and Training Centre,d,1
Which district's betel leaf recently received the GI tag?,Kanpur,Farrukhabad,Mahoba,Chennai,c,1
"Vimalnath, the 13th Tirthankara of Jainism, was born in which place?",Bithoorko,Sankisa,Kapilya,Makanpur,c,1
Fatehpur is known as what due to its location between the Ganga and Yamuna rivers?,Antardesh,Doaba City,Sangam Kshetra,Triveni Sangam,b,1
"In the Vedic period, the region between the Ganga and Yamuna was known as 'Antardesh'. What does 'Antardesh' signify?",A city of temples,A dense forest,Fertile land between two rivers,A mountainous region,c,1
"According to the text, Bhitora is considered the place of penance for which sage?",Sage Vishwamitra,Sage Valmiki,Bhrigu Rishi,Sage Parashara,c,1
The text mentions Asothrako as the city of which mythological figure?,Arjuna,Bhima,Krishna,Ashwatthama,d,1
"Where is the first rail park of Uttar Pradesh being constructed, according to the text?",Lucknow,Kanpur,Saraula village in Fatehpur district,Allahabad,c,1
"Which king is credited with founding Bulandshahr, initially named 'Baran'?",King Harshavardhana,King Bhoja,King Ahibaran,King Prithviraj Chauhan,c,1
"In ancient times, Bulandshahr was a part of which Mahajanapada?",Magadha,Kosala,Kuru,Vajji,c,1
"According to the text, where is the origin of the Lower Ganga Canal located?",Kanpur,Varanasi,Narora (Bulandshahr),Allahabad,c,1
Where is the Central Glass and Ceramic Research and Extension Centre located?,Lucknow,Agra,Kanpur,Bulandshahr (Khurja),d,1
The nuclear power station mentioned in the text is located in which of the following places?,Agra,Kanpur,Narora (Bulandshahr),Lucknow,c,1
"What product of Khurja is world famous, as per the provided text?",Silk Sarees,Leather Goods,Pottery Products (Ceramic Ware),Handloom Items,c,1
Which village in Uttar Pradesh is the first to receive ISO:9001-2015 certification for providing social services?,Saraula,Bhitora,"Shahzadpur Kunaini village (Khurja block, August 2003)",Asothrako,c,1
Banda is known as the place of penance for which Maharishi?,Maharishi Valmiki,Maharishi Parashara,Maharishi Vamdev,Maharishi Bhrigu,c,1
Which two rivers meet at Bhojhan in Banda district?,Ganga and Yamuna,Yamuna and Betwa,Ken and Yamuna,Ken River from Kayamuna River,d,1
"According to the text, which is the main mineral found in Banda?",Iron Ore,Coal,Bauxite (Rajgaon),Limestone,c,1
"The Kalinjar Fort, built by the Chandelas, is located in which district?",Fatehpur,Bulandshahr,Banda,Khurja,c,1
Where is the 'Kalinjar Fair' organized every year on the occasion of Kartik Purnima?,Fatehpur,Bulandshahr,Banda,Khurja,c,1
The Bundelkhand Chhatrashal Museum (1985) is located in which city?,Jhansi,Chitrakoot,Banda,Mahoba,c,1
"Which handicraft of Banda is internationally famous, involving jewellery and decorative items?",Wood carving,Pottery,Shajar made of stone,Textile weaving,c,1
"What was the Vedic period name for the region situated between the Ganga and Yamuna rivers, signifying 'fertile land between two rivers'?",Doaba,Antardesh,Brahmavarta,Aryavarta,b,1
"According to legend, Asothrako is the city associated with which mythological figure?",Arjuna,Bhima,Krishna,Ashwatthama,d,1
Which king is credited with founding Bulandshahr under the name 'Baran'?,Chandragupta Maurya,Harshavardhana,King Ahibaranne,Ashoka,c,1
Where does the Lower Ganga Canal originate?,Varanasi,Kanpur,Allahabad,Narora (Bulandshahr),d,1
Which product from Khurja is renowned worldwide?,Silk Sarees,Leather Goods,Pottery Products (Ceramic Ware),Brass Utensils,c,1
Which of the following is the main mineral found in Banda?,Gold,Silver,Bauxite (Rajgaon),Iron Ore,c,1
The 'Kalinjar Fair' is organized annually in Banda on the occasion of which event?,Diwali,Holi,Kartik Purnima,Shivaratri,c,1
"Which handicraft of Banda, involving jewelry and decorative items made of stone, is internationally renowned?",Zardozi,Shajar,Chikan,Terracotta,b,1
Bhitora is believed to be the place of penance for which sage?,Sage Valmiki,Sage Vishwamitra,Bhrigu Rishi,Sage Agastya,c,1
Asothrako is said to be the city of which mythological person?,Arjuna,Krishna,Ashwatthama,Bhima,c,1
Where is the nuclear power station located in Uttar Pradesh?,Khurja (Bulandshahr),Fatehpur,Narora (Bulandshahr),Banda,c,1
Which product is Khurja world famous for?,Textile,Leather,Pottery Products,Metal Works,c,1
In which year did Shahzadpur Kunaini village receive the ISO:9001-2015 certification?,2000,2003,2006,2009,b,1
"In the Vedic period, the region now known as Fatehpur was referred to as 'Antardesh'. What does 'Antardesh' signify?",Sacred land,Land of Kings,Fertile land between two rivers,Land of Temples,c,1
The origin of the Lower Ganga Canal is located in which place?,Kanpur,Narora (Bulandshahr),Allahabad,Varanasi,b,1
Ballia is believed to be named after which sage?,Rishi Sandipani,Rishi Bhrigu,Rishi Valmiki,Rishi Bharadwaj,c,1
Under whose leadership was an independent government established in Ballia in 1942?,Mangal Pandey,Chittu Pandey,Shivaji Pandey,Ram Manohar Lohia,b,1
Which district has been given the name of 'Rebellious Ballia'?,Ghazipur,Varanasi,Ballia,Azamgarh,c,1
"Where is the Dadri Fair held, which is the second largest cattle fair in the country?",Lucknow,Prayagraj,Ballia,Kanpur,c,1
In which district was Jananayak Chandrashekhar University (2016) established?,Ghazipur,Varanasi,Ballia,Mau,c,1
Jaiprakash Narayan (Surhatal) Bird Sanctuary (1991) is located in which district?,Deoria,Gorakhpur,Ballia,Basti,c,1
By which ancient names is Kushinagar identified?,Kushinara and Kaushambi,Kusavati and Kaushambi,Kusavati and Kushinara,Kushavati and Kapilavastu,c,1
In which district did Gautam Buddha attain 'Mahaparinirvana' in 483 BC?,Sarnath,Bodh Gaya,Kushinagar,Lumbini,c,1
How long is the reclining statue of Buddha (Mahaparinirvana Temple) present in Kushinagar?,5.1 metres,7.1 metres,6.1 metres,8.1 metres,c,1
In which posture is the statue of Buddha in Mahaparinirvana Temple?,Sitting posture,Standing posture,Sleeping posture,Meditating posture,c,1
(Fazilnagar) of Jain Tirthankara Mahavir Swami is located in which district?,Siddharthnagar,Deoria,Kushinagar,Maharajganj,c,1
The Buddhist Circuit Scheme connects which four major sites?,"Lumbini, Bodh Gaya, Sarnath, Vaishali","Lumbini, Bodh Gaya, Sarnath, Kushinagar","Kapilavastu, Bodh Gaya, Sarnath, Kushinagar","Lumbini, Sravasti, Sarnath, Kushinagar",b,1
Where is India's first transgender primary central university under construction?,Varanasi,Prayagraj,Kushinagar,Lucknow,c,1
By what name was Maharajganj known during the epic period?,Kosala,Karapath,Malla,Magadha,b,1
Maharajganj district is bordered by which two regions?,Bihar and Nepal,Nepal and Uttar Pradesh,Bihar and Uttar Pradesh,Nepal and Madhya Pradesh,a,1
When was Maharajganj separated from Gorakhpur and made a new district?,2-Oct-89,2-Oct-90,2-Oct-88,2-Oct-91,a,1
Where is the Asian King Vulture Conservation and Breeding Centre (the world's first) located?,Kushinagar,Siddharthnagar,Maharajganj,Basti,c,1
Jaiprakash Narayan (Surhatal) Bird Sanctuary was established in which year and is located in Ballia?,1981,1991,2001,2011,b,1
Where is the Tribal Museum located?,Sitapur,Lucknow,Maharajganj,Sultanpur,c,1
On the basis of which traditional belief did Sitapur get its name?,Birthplace of Kusha,Location of Tribal Museum,Sita stayed here with Lord Rama,King Vikramaditya's Kingdom,c,1
In which sacred soil did Sita prove her purity by immersing herself?,Ayodhya,Chakratirtha,Lalita Devi Temple,In the sacred soil of Naimisharanya,d,1
Who founded Sitapur?,Maharishi Vedavyasa,Rottam Das,King Vikramadityane,Captain Manoj Pandey,c,1
"By what name was Sitapur known during the Akbar period, according to Ain-i-Akbari?",Naimisharanya,Vikramaditya,Kushana,Chatiyapur / Chitiyapur,d,1
Which Maharishi composed the Puranas while living in Naimisharanya?,Rottam Das,King Vikramaditya,Maharishi Vedavyasane,Captain Manoj Pandey,c,1
Sitapur district has been witness to the attainment of knowledge by how many sages?,"10,000 sages","50,000 sages","100,000 sages","88,000 sages",d,1
"Rottam Das, the author of Sudama character, belonged to which district?",Maharajganj,Sultanpur,Sitapur,Ayodhya,c,1
Captain Manoj Pandey (Paramvir Chakra winner) was a prominent personality of which district?,Lucknow,Sultanpur,Sitapur,Maharajganj,c,1
What are the main fairs of Sitapur?,Kumbh Mela and Pushkar Fair,Lalita Devi Fair and Naimish Parikrama Fair (Phalguna),Taj Mahotsav and Ganga Mahotsav,Sarnath Fair and Ayodhya Deepotsav,b,1
Where is the first industrial park of Uttar Pradesh being set up in Sitapur?,Naimisharanya,Chakratirtha,In the Rasyora area,Misrikh,c,1
In which year was 'Sitapur Eye Hospital' established by Dr. Mahesh Prasad Mehre?,1947,1950,1926,1930,c,1
Which of the following is NOT one of the major industries of Sitapur?,Plywood industry,Jaggery industry,Katshal carpet industry,Software industry,d,1
"According to mythological beliefs, who founded Sultanpur?",King Vikramaditya,Maharishi Vedavyasa,"Kushana, son of Lord Shri Ram",Rottam Das,c,1
"According to traditional belief, what is the reason behind Sitapur's name?",King Vikramaditya founded it,Maharishi Vedavyas lived there,Sita stayed there with Lord Rama,It was known as Chatiyapur during Akbar's period,c,1
Who is credited with founding Sitapur?,Maharishi Vedavyas,Rottam Das,King Vikramadityane,Captain Manoj Pandey,c,1
Sitapur district is believed to have been a place of attainment of knowledge for how many sages?,"10,000","50,000","88,000","100,000",c,1
Which of the following is NOT a major religious site in Sitapur?,Naimisharanya (Misrikh),Chakratirtha,Ayodhya,Lalita Devi Temple,c,1
Which of the following is a major fair held in Sitapur?,Taj Mahotsav,Ganga Mahotsav,Lalita Devi Fair,Kumbh Mela,c,1
Where is the Sohagi Barwa Wildlife Sanctuary located?,Sitapur,Maharajganj,Sultanpur,Naimisharanya,b,1
What was the ancient name of Sultanpur?,Kusapur,Kushbhaktapur,Kushbhavanpur,Ghopaap,b,1
"According to the Chinese traveller Hiuen Tsang, what was Sultanpur known as?",Kushbhaktapur,Sultanpur,Kusapur,Ghopaap,c,1
Which ruler is credited with destroying Kushbhavanpur and establishing Sultanpur?,Maharishi Valmiki,Sultan Alauddin Khilji,Durvasa,Vashishtha,b,1
On which bank of the Gomti river is the Sultanpur district situated?,Left bank,Right bank,Confluence,Middle of the river,b,1
Sultanpur is regarded as the place of penance for which of the following Maharishis?,"Valmiki, Durvasa, and Vishwamitra","Valmiki, Durvasa, and Vashishtha","Durvasa, Vashishtha, and Parashurama","Valmiki, Vashishtha, and Agastya",b,1
"In Sultanpur, Ghopaap is mythologically significant as the place where:",Maharishi Valmiki wrote the Ramayana.,Ram washed away his sins after killing Ravana.,Durvasa performed his penance.,Vashishtha meditated.,b,1
The market of the dam made from Kush - Kash is located in which district?,Lalitpur,Hathras,Jhansi,Sultanpur,d,1
In which year was Hathras district formed?,1995,1996,1997,1998,c,1
"Hathras district, initially named 'Mahamaya Nagar', was created by integrating parts of which districts?","Aligarh, Mathura, and Firozabad","Agra, Mathura, and Etah","Aligarh, Mathura, and Agra","Agra, Firozabad, and Etah",c,1
When was the name of 'Mahamaya Nagar' changed to 'Hathras'?,2010,2011,2012,2013,c,1
"Besides asafoetida, what is another major industry in Hathras?",Textile manufacturing,Sugar manufacturing,Paint manufacturing,Leather manufacturing,c,1
The Dashavatar Temple (Devgarh) was built during which period?,Mauryan period,Gupta period,Mughal period,British period,b,1
In what year did Lalitpur district become an independent district after separating from Jhansi?,1972,1973,1974,1975,c,1
Which of the following dams are located in Lalitpur?,"Govind Sagar, Matatila, Rohini, and Rajghat dams","Rihand, Matatila, Rohini, and Rajghat dams","Govind Sagar, Rihand, Rohini, and Rajghat dams","Govind Sagar, Matatila, Rihand, and Obra dams",a,1
Which tribe primarily resides in the Lalitpur district?,Tharu tribe,Bhutia tribe,Sahariya tribe,Gond tribe,c,1
"In which style is the Dashavatara Temple (Devgarh), a Vishnu temple, built?",Dravidian style,Nagara style,Panchayatan style,Vesara style,c,1
The Jain temple (Pavagiri) is located in which district?,Jhansi,Lalitpur,Agra,Mathura,b,1
Lalitpur district is unique in Uttar Pradesh because it has reserves of which mineral?,Coal,Iron ore,Uranium,Bauxite,c,1
Where is the 'Mahavir Swami Wildlife Sanctuary' (1977) located?,Jhansi,Lalitpur,Chitrakoot,Sonbhadra,b,1
The first Pharma Park of Uttar Pradesh has been approved to be established in which district?,Kanpur,Lucknow,Lalitpur,Agra,c,1
Who destroyed Kushbhavanpur and established Sultanpur?,Maharishi Valmiki,Sultan Alauddin Khilji,Hiuen Tsang,Maharishi Vashishtha,b,1
"Which district is renowned as the penance place of Maharishi Valmiki, Durvasa and Vashishtha?",Lalitpur,Hathras,Sultanpur,Jhansi,c,1
"Where is Ghopaap, the mythological place where Ram is said to have washed away his sins, located?",Hathras,Lalitpur,Ayodhya,Sultanpur,d,1
When was Hathras district officially formed?,In May 2012,In May 1997,In 1974,In 1977,b,1
Hathras is popularly known by which of the following nicknames?,City of Gulal,Asafoetida market,City of asafoetida,All of the above,d,1
"Apart from asafoetida manufacturing, what is a major industry in Hathras?",Textile manufacturing,Paint manufacturing,Steel production,Automobile manufacturing,b,1
Sultanpur district is located on the right bank of which river?,Ganga,Yamuna,Ghaghra,Gomti,d,1
"In Sultanpur, what is the name of the mythological site where Ram is said to have washed away his sins after killing Ravana?",Ayodhya Ghat,Ghopaap,Naimisharanya,Chitrakoot,b,1
Where is the renowned market of the dam made from Kush-Kash situated?,Ayodhya,Prayagraj,Sultanpur,Varanasi,c,1
The Dashavatara Temple (Devgarh) is dedicated to which deity?,Shiva,Vishnu,Brahma,Indra,b,1
In which year was 'Mahavir Swami Wildlife Sanctuary' established in Lalitpur?,1975,1976,1977,1978,c,1
Where has approval been given to establish the state's first Pharma Park?,Lucknow,Kanpur,Lalitpur,Varanasi,c,1
"What is the mythological significance of Ghopaap, located in Sultanpur?",Site of Maharishi Valmiki's Ashram,Place where Ram washed away his sins after killing Ravana,Location of a famous Kush market,Ancient name of Sultanpur,b,1
"Besides the asafoetida manufacturing industry, what is the major industry of Hathras?",Textile industry,Paint manufacturing industry,Leather industry,Sugar industry,b,1
"What was Aligarh known as in ancient and medieval times, situated between the Ganga and Yamuna rivers?",Ramgarh,Sabtgarh,Kol or Koil,Harigarh,c,1
"Which demon, associated with the name Kol, was killed by Balarama in Aligarh?",Najaf Khan,Surajmal,Sabit Khan,Asuracoleco,d,1
What name was given to Aligarh by Governor Sabit Khan during the reign of Farrukhsiyar and Muhammad Shah?,Ramgarh,Aligarh,Sabtgarh,Harigarh,c,1
"After Jat ruler Surajmal captured the fort of Koil, what name was given to it?",Aligarh,Harigarh,Sabtgarh,Ramgarh,d,1
Najaf Khan renamed Koil to which of the following?,Sabtgarh,Ramgarh,Harigarh,Aligarh,d,1
Ibn Battuta described which city as 'a fine city surrounded by mango groves'?,Aligarh,Sabtgarh,Coilco,Ramgarh,c,1
In which year did the Aligarh Municipal Corporation Board pass a proposal to change the name of Aligarh to 'Harigarh'?,2020,2022,2023,2021,c,1
Aligarh Fort was built under the direction of which engineers?,British engineers,German engineers,French engineers,Indian engineers,c,1
In which year was Mohammed Anglo Oriental College established?,1920,1857,1875,1900,c,1
When was Mohammedan Anglo Oriental College converted into Aligarh Muslim University?,1875,1900,1942,1920,d,1
Where is the Node Centre of Defence Corridor Industrial Area located?,Lucknow,Kanpur,Aligarh,Prayagraj,c,1
When was Harduaganj thermal power plant established?,1950,1920,1942,1975,c,1
To the north of which mountain is Chitrakoot situated?,Himalayas,Aravalli,Vindhyachal,Shivalik,c,1
When was Chitrakoot district formed and separated from Banda district?,6-May-95,6-May-96,6-May-97,6-May-98,c,1
Where is the headquarters of Chitrakoot located?,Banda,Prayagraj,Chitrakoot Dham (did),Lucknow,c,1
"Approximately how many years did Lord Shri Ram, Sita ji, and Lakshman ji stay in Chitrakoot during their exile?",Five years,Nine years,Eleven years,Thirteen years,c,1
Which place is called the 'pilgrimage of pilgrimages'?,Ayodhya,Varanasi,Mathura,Chitrakootko,d,1
With which demon's killing by Balarama is the name 'Kol' associated?,Najaf Khan,Asuracoleco,Sabit Khan,Benoît de Boigne,b,1
Which engineer(s) directed the construction of Aligarh Fort?,Peyron only,Benoît de Boigne only,"French engineers, Benoît de Boigne and Peyron",Surajmal,c,1
What name did Najaf Khan give to the fort after capturing it?,Ramgarh,Sabtgarh,Koilco,Aligarh,d,1
The Aligarh Municipal Corporation Board passed a proposal in November 2023 to change the name of Aligarh to what?,Sabtgarh,Koilco,Ramgarh,Harigarh,d,1
In which village of Chitrakoot was Tulsidas born?,Ayodhya,Rajapur,Prayagraj,Varanasi,b,1
Which fair is organised every year in Chitrakoot?,Kumbh Mela,Ramayana Fair,Ganga Mahotsav,Magh Mela,b,1
Where is Uttar Pradesh's first 'Glass Sky Walk Bridge' being built?,Dudhwa National Park,Shabari Waterfall,Kashi Vishwanath Temple,Agra Fort,b,1
In which city is India's first handicapped university (Jagadguru Ram Bhadracharya Handicapped University) located?,Lucknow,Kanpur,Chitrakoot,Varanasi,c,1
In which district is a node of the Uttar Pradesh Defence Industrial Corridor located?,Kanpur,Lucknow,Agra,Chitrakoot,d,1
"Who founded Jaunpur, and in whose memory?","Akbar, in memory of Birbal","Sher Shah Suri, in memory of Humayun","Firuz Shah Tughlaq, in memory of his cousin Muhammad bin Tughlaq (Jauna Khan)","Ibrahim Lodhi, in memory of Sikandar Lodhi",c,1
By which nickname is Jaunpur known?,'City of Nawabs','Siraj of the East' or 'Shiraz-e-Hind','Manchester of the East','Garden City of India',b,1
"According to mythological beliefs, Jaunpur is considered to be the birthplace of whom?",Rama,Krishna,Parshuram ji,Buddha,c,1
When was Jaunpur made the capital by giving the title of 'Sharq' to Malik Sarwar?,1351,1388,1393,1401,c,1
Who laid the foundation of the Sharqi dynasty and when?,Malik Sarwar in 1393,Khwaja Jahan in 1397,Ibrahim Shah in 1401,Mahmud Shah in 1436,b,1
Which of the following is NOT a main mosque built by the Sharqi dynasty in Jaunpur?,Atala Mosque (1408),Jama Masjid (1442),Lal Darwaza Mosque,Moti Masjid,d,1
What was the main feature of Sharqi architecture?,Use of arches and domes,"Hindu-Muslim coordination (main doors in Muslim style, internal construction in Hindu style)",Elaborate carvings and inscriptions,Use of red sandstone,b,1
When was the Shahi Bridge constructed during the reign of Akbar?,1556,1569,1582,1605,b,1
What is the main folk dance of Jaunpur?,Kathak,Chaurasia,Bharatnatyam,Kuchipudi,b,1
In which year was Sathariya Industrial Development Authority (SIDA) established?,1975,1985,1989,1992,c,1
"Match the following Mosques with the year they were built:
Column I (Mosque)      Column II (Year)
A. Atala Mosque         1. 1442
B. Jama Masjid          2. 1408
C. Lal Darwaza Mosque   3. 1569","A-1, B-2, C-3","A-2, B-1, C-3","A-3, B-2, C-1","A-2, B-3, C-1",b,1
Which of the following statements is INCORRECT regarding Sharqi architecture?,It features Hindu-Muslim coordination.,Main doors are in Muslim style.,Internal construction is in Hindu style.,It exclusively uses Persian motifs.,d,1
"In which year was Ghazipur founded, according to the text?",1820,1330,1903,1997,b,1
"What was the original name of Ghazipur, as mentioned in the text?",Chunchu,Devaranyya,Gadhipuri,Vyaghraprastha,c,1
"By what nickname is Ghazipur known, based on the provided text?",Tiger City,Chhoti Kashi,Battlefield,Devpuriya,b,1
What name did the Chinese traveller Hiuen Tsang use for Ghazipur?,Vyaghraprastha,Gadhipuri,Devaranyya,Chunchu,d,1
Which historical figure's tomb is located in Ghazipur?,Veer Abdul Hamid,Sayyid Masood Ghazi,Lord Cornwallis,Veer Singh Bundela,c,1
"For which product is Ghazipur district particularly famous, according to the text?",Opium,Sugar,Rose water,Textiles,c,1
"In which district is Asia's largest village, 'Gahmar', located?",Meerut,Baghpat,Deoria,Ghazipur,d,1
"In which city was the world's largest opium factory established, and in what year?",Meerut (1903),Baghpat (1997),Ghazipur (1820),Deoria (1946),c,1
"Which district is associated with Veer Abdul Hamid, a Paramvir Chakra winner?",Deoria,Baghpat,Ghazipur,Meerut,c,1
"According to folklore, how many villages did the Pandavas demand before the Mahabharata war?",Seven,Three,Ten,Five,d,1
On which riverbank is Baghpat district located?,Ganga River,Yamuna River,Ghaghra River,Gomti River,b,1
"When was Baghpat district formed, and from which district was it separated?","16 March 1946, from Gorakhpur","5 September 1997, from Meerut","In 1820, from Varanasi","In 1330, from Delhi",b,1
Which district of Uttar Pradesh has the highest number of registered factories?,Ghazipur,Deoria,Baghpat,Gorakhpur,c,1
What is the origin of the name 'Deoria'?,Vyaghraprastha,Gadhipuri,Devaranyya or Devpuriya,Chunchu,c,1
In which district is the Deoraha Baba Ashram situated?,Ghazipur,Gorakhpur,Baghpat,Deoria,d,1
In which year was the Pratappur Sugar Mill established?,1820,1946,1903,1997,c,1
By whom was Ghazipur founded?,Veer Abdul Hamid,Lord Cornwallis,Hiuen Tsang,Sayyid Masood Ghazi,d,1
What was the oldest name of Ghazipur?,Chunchu,Devaranyya,Gadhipuri,Vyaghraprastha,c,1
Which nickname is associated with Ghazipur?,Tiger City,Devpuriya,Chhoti Kashi,Battlefield,c,1
Who referred to Ghazipur as 'Chunchu'?,Veer Singh Bundela,Hiuen Tsang,Veer Abdul Hamid,Sayyid Masood Ghazi,b,1
Which district is Veer Abdul Hamid related to?,Meerut,Deoria,Ghazipur,Baghpat,c,1
Baghpat district is situated on the eastern bank of which river?,Ganga,Yamuna,Ghaghara,Gomti,b,1
The name 'Deoria' is derived from which of the following?,Vyaghraprastha,Gadhipuri,Devaranyya or Devpuriya,Chunchu,c,1
When was Deoria district formed?,5-Sep-97,16-Mar-46,1330,1820,b,1
"In what year was Pratappur Sugar Mill, India's first sugar mill, established?",1820,1946,1903,1997,c,1
What nickname is commonly used to refer to Ghazipur?,Tiger City,Chhoti Kashi,Vyaghraprastha,Chunchu,b,1
For what product is the Ghazipur district particularly renowned?,Sugar,Opium,Rose water,Textiles,c,1
"What was the original name of Baghpat, according to the provided text?",Devaranyya,Gadhipuri,Vyaghraprastha,Devpuriya,c,1
Baghpat district was formed by separating parts of which district?,Gorakhpur,Deoria,Meerut,Jhansi,c,1
