Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topics,Points
What is the main objective of Regional Rural Banks (RRBs)?,To finance large industries,To provide credit to weaker sections in rural areas,To regulate commercial banks,To promote foreign trade,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What does FDI stand for?,Foreign Direct Investment,Financial Deposit Insurance,Fiscal Development Index,Federal Deposit Insurance,a,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which measure of inflation is based on a basket of goods and services consumed by a typical household?,WPI,CPI,GDP Deflator,IIP,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What is devaluation?,Increase in the value of a currency,Decrease in the value of a currency,Stable currency value,Floating currency exchange rate,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which of the following is NOT a function of the Reserve Bank of India (RBI)?,Issuing Currency,Acting as Banker to the Government,Accepting Deposits from the Public,Controlling Credit,c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What is the meaning of 'fiscal deficit'?,Total revenue minus total expenditure,Total expenditure minus total revenue,Total receipts minus total expenditure,Total expenditure minus borrowing,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which of the following reports is published by the World Bank?,Human Development Report,World Development Report,Global Competitiveness Report,Global Financial Stability Report,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What does SLR stand for with respect to banks?,Statutory Liquidity Ratio,Standard Lending Rate,State Level Resource,Sustainable Loan Requirement,a,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Who is the current (October 2024) Governor of the Reserve Bank of India (RBI)?,Urjit Patel,Raghuram Rajan,Shaktikanta Das,C. Rangarajan,c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which of the following is NOT a quantitative tool of monetary policy?,Repo Rate,Cash Reserve Ratio (CRR),Moral Suasion,Open Market Operations (OMO),c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What is the primary objective of monetary policy in India?,Promoting economic growth,Maintaining price stability,Reducing unemployment,Increasing exports,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
The Human Development Index (HDI) is published by which organization?,World Bank,International Monetary Fund (IMF),United Nations Development Programme (UNDP),World Economic Forum,c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What is the full form of CRR in banking terms?,Credit Reserve Ratio,Cash Reserve Ratio,Capital Revenue Ratio,Current Revenue Ratio,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
Which tax is levied on the production or sale of a specific good?,Income Tax,Excise Duty,Service Tax,Wealth Tax,b,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
What is 'Giffen good'?,A luxury good,A normal good,An inferior good where demand increases as price increases,A good with perfectly elastic demand,c,Economics,"Basic economic terms GDP GNP NNP NDP facts, Inflation types WPI CPI deflation stagflation, Banking structure RBI functions monetary policy tools, Fiscal policy budget deficit revenue fiscal primary, National income calculation methods India, Five year plans NITI Aayog planning history, Poverty unemployment types and measurements India, Indian taxation direct indirect GST facts, Money market capital market instruments, Banking terms repo reverse repo CRR SLR, Important economic indices and reports India, Government schemes related to economy and finance, Budget terminology and economic survey facts, Public sector private sector disinvestment facts, Agriculture contribution to economy MSP PDS facts, Foreign trade balance of payment forex reserves, International economic organizations IMF World Bank WTO, Financial inclusion Jan Dhan UPI DBT facts, Types of banks commercial regional rural cooperative, Recent economic rankings and statistics India",1
