Question,Option A,Option B,Option C,Option D,Correct Answer,Points
For how many years was Nelson Mandela imprisoned?,1945 years,37 years,27 years,509 years,c,1
Adolf Hitler was a politician from which country?,South Africa,Australia,Iran,Germany,d,1
In which year did Adolf Hitler commit suicide?,1952,1945,356 BC,509 BC,b,1
Which country gave universal suffrage from the 19th century?,Australia,Iran,Germany,New Zealand,d,1
In which country were women first given the right to vote?,New Zealand,Iran,Australia,Germany,c,1
The Safavid dynasty ruled from which country?,Australia,Germany,Iran,New Zealand,c,1
"Which empire was NOT impacted by the rise of nationalism, unlike other major empires?",Germany,Roman Empire,British Empire,Austro-Hungarian Empire,a,1
Under which military leader did the Roman Empire expand into present-day Britain and Germany in the first century BC?,Augustus,Tiberius,Julius Caesar,Alexander,c,1
"King ______ of the Macedonian kingdom conquered North Africa, Western Asia, Iran and the region up to the Vyas in India.",Tiberius,Julius Caesar,Augustus,Alexander,d,1
The Roman Republic was overthrown by whom?,Julius Caesar,Tiberius,Augustus,Alexander,c,1
Tiberius was the adopted son of whom?,Julius Caesar,Alexander,Augustus,Hitler,c,1
Julius Caesar expanded the Roman Empire into which of the following regions?,Iran,North Africa,Britain and Germany,Western Asia,c,1
Tiberius reigned as a Roman Emperor during which period?,14-37 AD,509-27 BC,6th Century BC,1952,a,1
Adolf Hitler belonged to which country?,Iran,New Zealand,Australia,Germany,d,1
