Question,Option A,Option B,Option C,Option D,Correct Answer,Points
"In scientific terms, a push or pull acting on an object is defined as:",Energy,Work,Force,Power,c,1
"The book 'Philosophiae Naturalis Principia Mathematica', also known as Principia, is attributed to which scientist?",Albert Einstein,Galileo Galilei,Isaac Newton,Stephen Hawking,c,1
What does the 'Law of Inertia' state regarding a stationary object or an object in motion?,It will accelerate continuously.,It will eventually come to a stop.,It remains in its state unless an external force acts on it.,It will change direction randomly.,c,1
How many laws of motion are attributed to Isaac Newton according to the text?,One,Two,Three,Four,c,1
"According to Newton's second law, knowing the force and mass allows us to determine which property of the object?",Velocity,Acceleration,Momentum,Position,b,1
The range of force having an exponent of 10−16m is related to which type of force?,Gravitational,Electromagnetic,Strong Nuclear,Weak Nuclear,d,1
What is the result of applying a large force on a rotating object?,Large velocity,Large acceleration,Large torque,Large momentum,c,1
"In science, what is a push or pull acting on an object called?",Energy,Work,Force,Power,c,1
What property is heightened in a body possessing excessive mass?,Acceleration,Velocity,Inertia,Momentum,c,1
In which year was Isaac Newton's 'Philosophiae Naturalis Principia Mathematica' published?,1678,1786,1687,1768,c,1
Rocket propulsion technology operates based on which scientific principle?,Archimedes' principle,Bernoulli's principle,Newton's laws of motion,Pascal's law,c,1
What physical property is high in a body having excessive mass?,Velocity,Acceleration,Inertia,Momentum,c,1
What is the magnitude of the net force acting on a body if two forces act on it from opposite directions?,Sum,Product,Difference,Ratio,c,1
Which of the following quantities is measured using a Torsion Balance?,Mass,Velocity,Force,Energy,c,1
"If the uncertainty in position and momentum is equal, what is the uncertainty in velocity?",(1/m)√(h/π),(1/2m)√(h/2π),(1/2m)√(h/π),(1/m)√(h/2π),c,1
What is the formula for distance?,Speed / Time,Time / Speed,Speed × Time,Speed + Time,c,1
"In the context of a body moving on a circular path, the equation includes 'v'. What does 'v' represent?",Velocity,Acceleration,Speed,Displacement,c,1
The distance covered by an object in unit time is defined as:,Acceleration,Velocity,Displacement,Speed,d,1
What type of motion is exhibited by an object moving in a straight line with changing speed?,Uniform motion,Circular motion,Non-uniform motion,Periodic motion,c,1
The path followed by a projectile is known as its:,Amplitude,Trajectory,Wavelength,Displacement,b,1
"When a particle thrown vertically upwards reaches its highest point, what is its acceleration?",Acceleration is zero,Acceleration is upwards,Acceleration is downwards,Acceleration is constant,c,1
"If a ball is thrown upwards, which of the following remains unchanged?",Velocity,Kinetic Energy,Potential Energy,Acceleration,d,1
"In projectile motion, the horizontal range is the same for an angle theta and which other angle?",Theta plus 90 degrees (θ+90∘),90 degrees divided by theta (90∘/θ),90 degrees minus theta (90∘−θ),Theta squared (θ^2),c,1
The motion of a fired cannonball is an example of:,Circular motion,Linear motion,Projectile motion,Rotational motion,c,1
What is the velocity of an object thrown upwards when it reaches its maximum height?,9.8 m/s,Maximum Value,1 m/s,0 m/s,d,1
"During projectile motion fired from the Earth's surface, which component of velocity remains constant?",Vertical component,Resultant component,Horizontal component,Both vertical and horizontal components,c,1
Acceleration is equivalent to the rate of change of:,Speed,Displacement,Velocity,Distance,c,1
Which of the following statements correctly describes acceleration?,"Directly proportional to mass, inversely proportional to force",Directly proportional to both mass and force,"Inversely proportional to mass, proportional to force",Inversely proportional to both mass and force,c,1
The slope of a velocity-time graph represents:,Displacement,Speed,Acceleration,Momentum,c,1
Which of the following is an equation of motion?,s = ut + at,s = ut + 2at^2,2s = 2ut + at^2,s = ut + (1/2)at,c,1
What type of friction is considered a self-adjusting force?,Kinetic friction,Rolling friction,Fluid friction,Static friction,d,1
Friction force always ___ the applied forces.,Aids,Increases,Opposes,Equals,c,1
Our ability to walk on Earth without slipping is primarily due to:,Gravitational force,Magnetic force,Frictional force,Electrostatic force,c,1
The force that brings a vehicle to a stop when brakes are applied is known as:,Centripetal force,Applied force,Frictional force,Gravitational force,c,1
What is the distance covered by an object in unit time called?,Displacement,Acceleration,Velocity,Speed,d,1
Which statement accurately describes acceleration?,"Directly proportional to mass, inversely proportional to force","Proportional to mass, inversely proportional to force","Inversely proportional to mass, proportional to force",Directly proportional to both mass and force,c,1
What does the slope of a velocity-time graph represent?,Speed,Displacement,Acceleration,Distance,c,1
We are able to walk on earth without slipping due to?,Gravitational force,Centripetal force,Electrostatic force,Frictional force,d,1
"In projectile motion, at what angle, besides theta, will the horizontal range be the same?",45 degrees plus theta (45∘+θ),90 degrees plus theta (90∘+θ),90 degrees minus theta (90∘−θ),180 degrees minus theta (180∘−θ),c,1
"If an object is thrown upwards, what is its velocity upon reaching maximum height?",9.8 m/s,1 m/s,0 m/s,Maximum,c,1
The slope of a velocity-time graph illustrates what?,Displacement,Speed,Acceleration,Distance,c,1
"In the equation describing the motion of a body on a circular path, 'v' represents:",Velocity,Acceleration,Speed,Displacement,c,1
Acceleration is proportional to force and _____ proportional to mass.,Directly,Equally,Inversely,Exponentially,c,1
What force resists motion when an object slides on a surface?,Centripetal force,Friction,Tangential acceleration,Gravitational force,b,1
What are the two types of rotational motion mentioned?,Linear and circular,Spin and Orbital motion,Periodic and aperiodic,Tangential and centripetal,b,1
"If net torque is zero, which quantity remains constant?",Angular acceleration,Moment of inertia,Angular momentum,Tangential velocity,c,1
"What is the correct relationship between Torque (τ), Moment of Inertia (I), and Angular Acceleration (α)?",α = I / τ,τ = α / I,α = τ / I,I = τ * α,c,1
What is the angle between centripetal acceleration and tangential acceleration?,0∘,45∘,90∘,180∘,c,1
Which of the following is NOT a characteristic of uniform circular motion?,Constant speed,Constant radius,Distance is always equal to displacement,Centripetal acceleration,c,1
What is the time taken by a pendulum to complete one oscillation called?,Frequency,Angular velocity,Time Period,Wavelength,c,1
The motion of a simple pendulum is an example of which type of motion?,Linear motion,Rotational motion,Periodic motion,Random motion,c,1
What happens to the time period of a pendulum on the Moon compared to Earth?,Decrease,Increase,Remains the same,Becomes zero,b,1
The potential energy (U) of a particle performing simple harmonic motion is described by which formula?,U = mgh,U = 0.5kx^2,U = mv^2,U = Fd,b,1
Which type of motion occurs when the axis of rotation passes through an object in motion?,Linear motion,Orbital motion,Rotational motion,Spin motion,c,1
Spin and Orbital motion are types of which kind of motion?,Linear Motion,Periodic Motion,Rotational Motion,Simple Harmonic Motion,c,1
"In purely rotational motion, the center of the circle in which each constituent particle moves lies on a line called the:",Diameter,Radius,Axis of rotation,Tangent,c,1
What remains uniform at every point on a rotating object?,Tangential velocity,Linear momentum,Angular velocity,Moment of inertia,c,1
What is the average speed of an object moving in a circular path if it completes one revolution in one second?,Circumference/time,Zero,One,Two,a,1
The work done by the Centrifugal force is:,Maximum,Minimum,Positive,Zero,d,1
What is the relationship between time period (T) and a particle of mass (m) performing simple harmonic motion?,T = 2πk/m,T = 2πm/k,T = πm/k,T = πk/m,b,1
Which statement is NOT true for uniform circular motion?,Speed is constant,Acceleration is constant,Distance is always equal to displacement,The object moves in a circle,c,1
"If an object moves in purely rotational motion, the center of the circles traced by its constituent particles lies on what?",A tangential plane,The circumference,Axis of rotation,The center of mass,c,1
"In a simple pendulum, what is the metal ball or stone piece suspended from a rigid stand by a thread called?",String,Mass,Bob,Weight,c,1
Which of the following is an example of an 'Action-at-a-distance' force?,Friction,Tension,Gravitation,Applied Force,c,1
The force by which the Earth pulls all objects towards itself is known as?,Centrifugal Force,Electromagnetic Force,Gravitation,Nuclear Force,c,1
To which of the following does the law of gravitation apply?,Planets only,Objects on Earth only,Any pair of two objects,Celestial bodies only,c,1
"According to Newton's law of gravitation, the force between two objects is proportional to which of the following?",The sum of their masses,The difference of their masses,The product of their masses,The ratio of their masses,c,1
"In the context of gravitation, what is 'G' commonly referred to as?",Gravitational Acceleration,Gravitational Field,Gravitational Constant,Gravitational Potential,c,1
"If the distance between two objects increases three times, how does the gravitational force of attraction between them change?",Becomes three times the original,Becomes one-third of the original,Becomes nine times the original,Becomes one-ninth of the original,d,1
An iron ball and a wooden ball of equal radius are released from height H in a vacuum. What can be said about the time taken for both to reach the ground?,Iron ball will reach first,Wooden ball will reach first,Exactly equal,Depends on the value of H,c,1
"If the speed of rotation of the Earth increases, how will the weight of a body be affected?",Will increase,Will remain the same,Will decrease,Will become zero,c,1
What is the value of 'g' (acceleration due to Earth's gravitational power)?,10 m/s2,9.  m/s2,8.  m/s2,7.  m/s2,b,1
What is the value of acceleration due to gravity (g) at a distance of 2R from the surface of the earth (where R is the radius of the earth)?,g/2,g/4,g/3,g/9,d,1
Why is weightlessness felt when orbiting the Earth in a spacecraft?,Due to high speed,Due to absence of air,Due to zero gravity (Free fall),Due to centrifugal force,c,1
"If the radius of the Earth decreases and its mass remains constant, what will happen to the value of 'acceleration due to gravity'?",Less,More,Remain Constant,Zero,b,1
"In an elevator going down with uniform velocity, what is the apparent weight of a person?",More than the weight when stationary,Less than the weight when stationary,Equal to the weight when the person is stationary,Zero,c,1
How does acceleration due to gravity on a planet change with an increase in altitude from the surface of the planet?,Increases,Remains constant,Decreases,Becomes zero,c,1
What is the weight of a body at the center of the Earth?,Maximum,Minimum,Equal to its weight on the surface,Zero,d,1
Acceleration due to gravity on a planet decreases?,With decrease in altitude from the surface of the planet,With increase in density of the planet,With increase in altitude from the surface of the planet,With decrease in mass of the planet,c,1
"According to the provided text, what happens to the speed of an object dropped from a height when there is no air resistance?",Its speed remains constant.,Its speed will decrease.,Its speed will increase.,Its speed fluctuates.,c,1
"According to the text, what is the velocity of an object colliding with the ground when it falls freely from a certain height and reaches the ground in 1 second?",4.9 m/s,19.6 m/s,9.8 m/s,3.2 m/s,c,1
"Which of the following formulas represents the weight (W) of a body, according to the text?",W = m/g,W = mg,W = g/m,W = m + g,b,1
"If the orbital period of a planet in orbit of radius R is T, what will be the orbital period in orbit of radius 4R?",4T,2T,16T,8 T,d,1
"Once a satellite is placed in orbit, which force primarily controls its motion, according to the provided text?",Friction,Air Resistance,Gravitation,Thrust,c,1
"According to the text, which particle has zero mass?",Quark,Positron,Neutrino,Boson,c,1
Which of the following particles is described as having a fractional charge in the text?,Boson,Positron,Neutrino,Quark,d,1
"According to the text, which metal is the most ductile?",Iron,Silver,Copper,Gold,d,1
"Who is credited with discovering the principle of water displacement, as stated in the provided text?",De-Broglie,Newton,Archimedes,Einstein,c,1
"The principle behind why a small iron ball sinks in water while a ship floats on water is attributed to which scientist, according to the text?",De-Broglie,Newton,Einstein,Archimedes,d,1
Who established the wave nature of particles according to the text?,Archimedes,Newton,De-Broglie,Einstein,c,1
"What is the reason for echo generation, as mentioned in the text?",Refraction,Diffraction,Reflection,Absorption,c,1
"According to the text, what happens to the average kinetic energy of a substance's molecules when its temperature increases?",Decreases,Remains Constant,Increases,Becomes Zero,c,1
"What happens to the radius of a soap bubble when it is charged, according to the text?",Radius decreases,Radius remains the same,Radius increases,Bubble collapses,c,1
"According to the text, which of the following remains constant at different places?",Weight,Gravity,Mass,Volume,c,1
"Which force is described as a weak force unless a large mass is involved, according to the text?",Electromagnetic Force,Nuclear Force,Gravitational Force,Frictional Force,c,1
"According to the text, which of the following is a semiconductor?",Gold,Iron,Silicon,Copper,c,1
"According to the text, why does an iron needle float on the surface of mercury?",Due to density,Due to viscosity,Due to buoyancy,Due to Surface Tension,d,1
Which of the following particles is stated to have zero mass?,Quark,Positron,Neutrino,Boson,c,1
Which metal is identified as the most ductile?,Iron,Silver,Aluminum,Gold,d,1
The principle of a ship floating on water is based on the work of which scientist?,De-Broglie,Newton,Einstein,Archimedes,d,1
Who is credited with establishing the wave nature of particles?,Archimedes,Newton,De-Broglie,Einstein,c,1
Echo generation is caused by what phenomenon of sound?,Refraction,Diffraction,Interference,Reflection,d,1
What is the stated effect on the radius of a soap bubble when it is charged?,Radius decreases,Radius remains constant,Radius increases,Bubble collapses,c,1
Which material is identified as a semiconductor?,Gold,Iron,Silicon,Copper,c,1
Which particle is known to have zero mass?,Quark,Positron,Boson,Neutrino.,d,1
Identify the particle with fractional charge.,Boson,Positron,Quark.,Neutrino,c,1
Which particle has fractional spin?,Boson,Positron.,Neutrino,Quark,b,1
The phenomenon of a small iron ball sinking in water while a ship floats is based on whose principle?,Newton,Einstein,De-Broglie,Archimedes.,d,1
Echo generation is primarily due to what property of sound?,Refraction,Diffraction,Reflection.,Interference,c,1
Which statement accurately describes the relationship between weight and mass?,Mass changes at different places while weight remains constant.,Both weight and mass change at different places.,Weight remains constant while mass changes at different places.,The value of weight changes at different places while mass remains constant.,d,1
Which force is considered weak unless a large mass is involved?,Electromagnetic force,Strong nuclear force,Gravitational force.,Weak nuclear force,c,1
"According to the text, the weight (W) of a body can be given by which formula?",W=m/g,W=g/m,W=mg,W=m+g,c,1
"According to the text, once a satellite is placed in orbit, what is the only force controlling its motion?",Friction,Gravitation,Air resistance,Electromagnetism,b,1
The generation of an echo is due to which property of sound?,Refraction,Diffraction,Reflection,Interference,c,1
Why does a needle sink in water while an iron ship floats?,Because iron is lighter than steel.,Due to the different shapes of the needle and the ship.,The relative density of the needle is greater than the relative density of the water displaced by it.,"The ship has a motor, while the needle does not.",c,1
Silicon at room temperature is classified as a:,Conductor,Insulator,Semiconductor,Superconductor,c,1
Which of the following statements is correct regarding the mass of an object?,It varies with location.,It is zero at the Earth's center.,It remains the same everywhere.,It increases with altitude.,c,1
Momentum is defined as the product of:,Force and Time,Mass and Acceleration,Mass and Velocity,Force and Distance,c,1
What property allows hot iron to be beaten into a knife?,Ductility,Conductivity,Malleability,Elasticity,c,1
On which principle does a spring balance operate?,Newton's Law,Pascal's Law,Hooke's Law,Archimedes' Principle,c,1
Hooke's Law states that strain is directly proportional to:,Area,Volume,Stress,Density,c,1
The absorption of water by soil is related to which principle?,Osmosis,Diffusion,Capillary action,Surface Tension,c,1
A water drop spreads on glass while mercury remains spherical because:,Water is less dense than mercury.,Mercury is a better conductor of heat.,The cohesion of mercury is greater than its adhesion with glass.,Water has higher surface tension.,c,1
What is the viscosity of an ideal fluid?,Infinite,High,Low,Zero,d,1
"The equation AV = Constant, where A = Area and V = Velocity, is known as:",Bernoulli's Equation,Poiseuille's Equation,Equation of Continuity,Navier-Stokes Equation,c,1
Which scientist first established that the loss in weight of a submerged body equals the weight of fluid displaced?,Newton,Pascal,Archimedes,Einstein,c,1
"Lactometers, hydrometers, ships, and submarines are designed based on:",Pascal's principle,Bernoulli's principle,Archimedes' principle,Newton's laws,c,1
Air bubbles rise in liquid due to:,Surface tension only,Pressure and Temperature,Viscosity and Buoyancy,Density only,c,1
"When ice floats on water, what fraction remains outside?",0.5,0.2,0.1,0.8,c,1
"If floating ice melts in a vessel, what happens to the water level?",The level rises.,The level falls.,There is no change.,The level initially rises then falls.,c,1
The upward force acting on a floating object is called:,Gravity,Viscosity,Buoyancy,Adhesion,c,1
"According to the text, what is Silicon at room temperature?",Conductor,Insulator,Semiconductor,Superconductor,c,1
"As per the text, how does the mass of an object change with location?",Increases with altitude,Decreases with depth,Changes depending on gravity,Remains the same everywhere,d,1
"According to the text, what is momentum defined as?",Mass divided by velocity,Mass plus velocity,Mass multiplied by acceleration,Mass and Velocity,d,1
"According to the text, what is the relationship between strain and stress in Hooke's Law?",Strain is inversely proportional to stress,Strain is independent of stress,Strain is directly proportional to the stress,Strain is exponentially related to stress,c,1
"According to the text, why does mercury remain spherical while water forms a thin layer on glass?",Water has higher density.,Mercury has lower surface tension.,The cohesion of mercury is greater than its adhesion with glass.,Water is more viscous than mercury.,c,1
"According to the text, which scientist established that the loss in weight of a body immersed in a fluid is equal to the weight of the fluid displaced?",Newton,Pascal,Archimedes,Einstein,c,1
"When ice floats on water, how much of it remains outside the water, according to the text?",0.5,0.25,0.9,0.1,d,1
"At room temperature, what type of material is Silicon?",Conductor,Insulator,Semiconductor,Superconductor,c,1
The direct proportionality between strain and stress is known as?,Pascal's Law,Archimedes' Principle,Hooke's Law,Newton's Law,c,1
Mercury remains spherical on glass due to which property?,Adhesion with glass is greater,Surface Tension is lower,The cohesion of mercury is greater than its adhesion with glass.,Viscosity is lower,c,1
"AV = Constant, represents which equation?",Bernoulli's Equation,Equation of Continuity,Ideal Gas Law,Poiseuille's Law,b,1
"In a streamline flow, which property remains uniform at every point?",Pressure,Density,Velocity,Viscosity,c,1
Lactometers and hydrometers are designed based on which principle?,Pascal's Law,Hooke's Law,Archimedes' principle.,Bernoulli's Principle,c,1
The property of iron that allows it to be hammered into a knife is called:,Ductility,Brittleness,Malleability,Elasticity,c,1
Hooke's Law relates strain to which quantity?,Pressure,Volume,Stress,Temperature,c,1
Why does mercury form spherical drops while water spreads?,Water has higher surface tension.,Mercury is denser than water.,The cohesion of mercury is greater than its adhesion with glass.,Water has higher adhesion with glass.,c,1
According to which principle is pressure equal to the force acting per unit area?,Archimedes' Principle,Pascal's Principle,Buoyancy Principle,Density Principle,b,1
What happens to the density of water when it freezes?,Increases,Remains constant,Decreases,Becomes zero,c,1
What will NOT apply to the fluid if there is no gravity?,Surface tension,Viscosity,Upward pressure (Buoyancy),Adhesion,c,1
What type of waves are ultrasonic waves?,Transverse wave motion,Electromagnetic wave motion,Longitudinal wave motion,Seismic wave motion,c,1
In which of the following mediums can sound NOT travel?,Air,Water,Vacuum,Steel,c,1
Which waves are used to diagnose defects in the internal organs of the human body?,Radio waves,Infrared waves,Ultrasonic waves,Microwaves,c,1
What is the relationship between the molecular mass of a gas and its vapor density?,Equal to its vapor density,Half its vapor density,Twice its vapor density,Square of its vapor density,c,1
Which electromagnetic radiation has the longest wavelength?,Gamma rays,X-rays,Radio waves,Ultraviolet rays,c,1
Which of the following principles is the lactometer based on?,Pascal's Principle,Archimedes' Principle,Doppler Effect,Quantum Entanglement,b,1
The boiling point of water in mountainous areas is...,Higher than at sea level,Lower than at sea level,The same as at sea level,Independent of altitude,b,1
The molecular mass of a gas is equal to:,Its vapor pressure,Half its vapor density,Twice its vapor density,Its absolute temperature,c,1
Which waves are used by ships to find the depth of the ocean floor?,Infrared waves,Radio waves,Ultrasonic waves,Microwaves,c,1
Identify the INCORRECT statement:,Bats use ultrasonic waves to locate prey.,Hydrometers determine the density of liquids.,Ink pens leak in airplanes due to high atmospheric pressure.,Density is maximum for water relative to ice.,c,1
What principle are the Lactometer and Hydrometer based on?,Pascal's Principle,Newton's Law,Archimedes' Principle,Boyle's Law,c,1
What will happen to a fresh egg when it is placed in salt water?,It sinks.,It dissolves.,It floats.,It remains suspended.,c,1
"If gravity is absent, which of the following will NOT apply to fluids?",Viscosity,Upward pressure (Buoyancy),Surface tension,Density,b,1
By what is the mass of a substance divided to obtain its density?,Area,Weight,Volume,Temperature,c,1
The molecular mass of a gas is how many times its vapor density?,Four,One,Three,Two,d,1
Which type of wave motion is exemplified by ultrasonic waves produced in air by a vibrating quartz crystal?,Transverse wave motion,Electromagnetic wave motion,Longitudinal wave motion,Microwave motion,c,1
Which of the following waves is NOT ultrasonic?,Waves used to find the depth of the ocean floor,Waves used by bats to locate prey,Waves used to diagnose defects in internal organs,Radio waves,d,1
"If some gas is removed from a closed container and the pressure is reduced, what will happen to the mean free path of the gas molecules?",Decrease,Remain the same,Increase,Become zero,c,1
What is the velocity of a radio wave?,3 × 10^6 m/second,3 × 10^7 m/second,3 × 10^9 m/second,3 × 10^8 m/second,d,1
"Which color, according to the text, possesses the longest wavelength?",Blue,Green,Orange,Red,c,1
What range encompasses the FM broadcast band?,UHF range,SHF range,EHF range,VHF range,d,1
"Which of the following frequencies would be audible to humans, according to the provided information?",100 Hz,100000 Hz,1 Hz,10000 Hz,a,1
"According to the text, which substance is described as sonorous?",Gold,Silver,Iron,Copper,c,1
What is the term for the distance between two nearest particles of a medium vibrating in the same phase?,Frequency,Amplitude,Wavelength,Velocity,c,1
Which of the following substances is identified as sonorous?,Aluminum,Iron,Copper,Silver,b,1
The FM broadcast band operates within which frequency range?,UHF range,VHF range,SHF range,EHF range,b,1
"Among the given options, which color possesses the longest wavelength?",Blue,Green,Violet,Orange,d,1
Which sound frequency falls within the audible range for humans?,100 Hz,10 Hz,100000 Hz,1 Hz,a,1
Which frequency of sound is audible to humans?,100 Hz,100000 Hz,10000 Hz,1000 Hz,a,1
What characteristic of a sound wave primarily determines its pitch?,Amplitude,Wavelength,Frequency,Velocity,c,1
What is the approximate decibel level expected during a conversation between two individuals?,10 dB,30 dB,60 dB,90 dB,b,1
What medium is incapable of transmitting sound waves?,Water,Steel,Air,Vacuum,d,1
At what frequency is the human ear most receptive?,10 Hertz,500 Hertz,1000 Hertz,5000 Hertz,c,1
What is the persistence of hearing?,1/5 second,1/10 second,1/15 second,1/16 second,b,1
What is the persistence of vision?,1/5 second,1/10 second,1/15 second,1/16 second,d,1
Which statement is NOT correct regarding sound?,Pitch depends on frequency,Decibel is a unit for measuring sound,Sound travels fastest in a vacuum,Minimum distance to hear an echo is approximately 17 meters,c,1
At approximately what frequency is the human ear most sensitive?,10 Hertz,100 Hertz,1000 Hertz,10000 Hertz,c,1
The 'Pitch' of a sound depends on its?,Amplitude,Frequency,Wavelength,Velocity,b,1
On what characteristic does the 'Pitch' of a sound primarily depend?,Amplitude,Intensity,Frequency,Wavelength,c,1
"An important characteristic of sound, 'Pitch', depends on?",Amplitude,Wavelength,Frequency,Velocity,c,1
"What are the small divisible sound units of sounds, each having an identity, called?",Morpheme,Grapheme,Phoneme,Lexeme,c,1
Which type of waves is predominantly utilized for telecommunication purposes?,Infrared waves,Radio waves,Microwaves,Sound waves,c,1
Which of the following is NOT a method by which a thermos flask prevents heat loss or gain?,Convection,Radiation,Conduction,Evaporation,d,1
"Sounds with a frequency of more than 20,000 Hertz are classified as:",Infrasonic,Audible,Ultrasonic,Supersonic,c,1
What type of waves are utilized in SONAR technology?,Infrared waves,Radio waves,Ultrasonic waves,Seismic waves,c,1
The change in the sound of a train whistle as it approaches and moves away from an observer is an example of which phenomenon?,Refraction,Interference,Doppler Effect,Resonance,c,1
The statement 'Sound travels like transverse waves' is:,Correct,Incorrect,Sometimes correct,Irrelevant,b,1
What is the phenomenon of hearing sound for a short duration even after the sound source has stopped in a hall called?,Echo,Resonance,Reverberation,Diffraction,c,1
What technology primarily uses radio waves to detect the presence and position of objects?,SONAR,RADAR,LASER,MASER,b,1
"Match the following uses with the type of wave:

Column I (Use)         Column II (Wave)
A. Destroy insects    1. Ultrasonic wave
B. Doing CT Scan         2. X-rays

Choose the correct sequence:","A-1, B-2","A-2, B-1","A-1, B-1","A-2, B-2",a,1
"The phenomenon where the sound of an approaching train's whistle increases, and decreases as it moves away, is an example of:",Refraction,Interference,Diffraction,Doppler Effect,d,1
Which of the following waves is used in CT scans?,Microwaves,Infrared waves,X-rays,Radio waves,c,1
The persistence of sound in a hall even after the sound source has stopped is known as:,Reflection,Refraction,Reverberation,Resonance,c,1
A thermos flask prevents heat loss or gain through which methods?,Conduction only,Convection only,Radiation only,"Conduction, Convection, and Radiation",d,1
Which type of waves is used in SONAR?,Infrared waves,Radio waves,Ultrasonic waves,Microwaves,c,1
The Doppler Effect is best described as:,The reflection of sound waves,The bending of light around objects,The change in frequency of a wave in relation to an observer who is moving relative to the wave source,The absorption of sound waves by a medium,c,1
Which type of rays are used in CT scans?,Gamma rays,Beta rays,X-rays,Ultraviolet rays,c,1
"Which wave can destroy insects, clean clothes, treat diseases and control automatic doors?",Infrared wave,Radio wave,X-ray,Ultrasonic wave,d,1
In which type of electromagnetic waves is the length shortest?,Radio waves,Infrared waves,γ-rays (Gamma rays),Microwaves,c,1
What do waves transmit from one place to another?,Mass,Energy,Velocity,Momentum,b,1
The walls and ceiling of an auditorium are covered with fibrous material to:,Increase sound reflection,Create resonance,Absorb sound and prevent echo,Amplify sound,c,1
The combined effect of mass and velocity is represented by which physical quantity?,Force,Energy,Impulse,Momentum,d,1
Impulse is equivalent to:,Force,Change in energy,Change in momentum,Velocity,c,1
The rate of change of momentum is:,Energy,Velocity,Force,Impulse,c,1
"Arrange the following radiations in descending order of frequencies:
X-rays, Infrared, Microwaves, Radio waves",Infrared > Microwaves > Radio waves > X-rays,Radio waves > Microwaves > Infrared > X-rays,X-rays > Infrared > Microwaves > Radio waves,Microwaves > Radio waves > X-rays > Infrared,c,1
Which of the following refers to a part of the electromagnetic spectrum with frequencies of about 300 GHz to 3kHz?,Infrared waves,X-rays,Radio waves,Gamma rays,c,1
Which of the following is NOT an electromagnetic wave?,Infrared waves,Radio waves,Cathode-ray,Microwaves,c,1
"Which type of radiation has enough energy to affect atoms in a living cell, damaging their genetic material?",Microwaves,Radio waves,Radiation,Infrared waves,c,1
The wavelength of infrared waves is smaller than:,X-rays,Radio waves,Gamma rays,Visible light,b,1
Who proposed the wave theory of light?,Isaac Newton,Albert Einstein,Christiaan Huygens,Max Planck,c,1
Which electromagnetic waves are detected using a thermopile?,Microwaves,Infrared waves,Radio waves,X-rays,b,1
"Arrange the following electromagnetic radiations in increasing order of frequency: Long radio waves, Microwaves, Visible light, X-rays",Visible light < X-rays < Long radio waves < Microwaves,X-rays < Visible light < Microwaves < Long radio waves,Long radio waves < Microwaves < Visible light < X-rays,Microwaves < Long radio waves < X-rays < Visible light,c,1
Which electromagnetic waves are produced during the radioactive decay of nuclei?,Radio waves,Infrared waves,Gamma rays,Microwaves,c,1
In what form does the Earth's surface radiate heat into space?,Radio waves,Visible light,Infrared radiation,Microwaves,c,1
Magnetron valve is used in the production of:,Radio waves,Microwaves,Infrared waves,X-rays,b,1
Which electromagnetic waves can be detected using a point contact diode?,Infrared waves,Radio waves,Microwaves,Gamma rays,c,1
The length of waves is shortest in which of the following?,Radio waves,Infrared waves,Gamma rays,Microwaves,c,1
What is the range of wavelengths for visible light?,200 nm to 500 nm,400 nm to 600 nm,400 nm to 700 nm,500 nm to 800 nm,c,1
The loudness of a wave is proportional to the:,Cube of the amplitude,Square root of the amplitude,Square of the amplitude,Amplitude,c,1
Which phenomenon established the transverse nature of light?,Interference,Diffraction,Polarization,Refraction,c,1
Which type of waves cannot be polarized?,Radio waves,Light waves,Ultrasonic waves,Infrared waves,c,1
What is the relationship between frequency (f) and time period (T) of a wave?,f = T,f + T = 1,f / T = 1,f × T = 1,d,1
Which electromagnetic waves are detected using a Geiger tube?,Infrared rays,Microwaves,Gamma rays,X-rays,c,1
Infrared waves are also known as:,Radio waves,Heat waves,Light waves,Sound waves,b,1
In what year was the Doppler effect discovered?,1824,1842,1864,1882,b,1
The audible range of sound for an average adult person is:,0 Hz - 20 Hz,20 Hz - 2000 Hz,20 Hz - 20000 Hz,200 Hz - 200000 Hz,c,1
Which of the following is an example of longitudinal waves in a gaseous medium?,Light waves,Radio waves,Sound waves,Infrared waves,c,1
For the detection of which electromagnetic waves is the Geiger tube used?,Infrared waves,Microwaves,Gamma rays,Ultraviolet rays,c,1
Which waves are typically used in radar systems?,Infrared waves,Microwaves,Ultraviolet waves,Sound waves,b,1
The shrill voice of women is due to what?,Low frequency,Low amplitude,High amplitude,High frequency,d,1
What type of electromagnetic waves does a Geiger tube detect?,Infrared waves,Microwaves,Gamma rays,Radio waves,c,1
Which waves are also known as heat waves?,Microwaves,Gamma rays,Infrared waves,Radio waves,c,1
"According to the principle of superposition, what does the superposing of two or more coherent waves produce?",Refraction,Interference,Diffraction,Polarization,b,1
What is the term used when an object's speed exceeds the speed of sound?,Hypersonic speed,Subsonic speed,Ultrasonic speed,Supersonic speed,d,1
Which characteristic of sound is measured in Hertz (Hz)?,Wavelength of sound,Amplitude of sound,Frequency of sound,Intensity of sound,c,1
The quality of musical sound from a stringed instrument depends on the:,Pitch of the sound,Loudness of the sound,Waveform of the sound,Speed of the sound,c,1
"To clearly hear an echo, what is the minimum time interval required between the original sound and the reflected sound?",1 second,0.5 second,0.01 second,0.1 second,d,1
What is the permissible noise level for a residential area?,60 dB,70 dB,55 dB,50 dB,c,1
What is the permissible noise level for a silent zone?,70 dB,65 dB,55 dB,50 dB,d,1
What is the permissible noise level for a commercial area?,50 dB,55 dB,65 dB,70 dB,c,1
