Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Points
"Match List I (Samas) with List II (Example) and select the correct answer using the code given below:

List I (Samas)
(A) Avyayibhav Samas
(B) Tatpurush Samas
(C) Dvigu Samas
(D) Bahuvrihi Samas

List II (Example)
(1) Chaturanan
(2) Pratidin
(3) Rajkumar
(4) Tiranga

Code:
","A-2, B-3, C-4, D-1","A-3, B-2, C-1, D-4","A-4, B-1, C-2, D-3","A-1, B-4, C-3, D-2",a,General Hindi,1
"Arrange the following works of Hindi Literature in chronological order:

1. Prithviraj Raso
2. Padmavat
3. Ramcharitmanas
4. Bharat-Bharati
","1, 2, 3, 4","2, 1, 4, 3","4, 3, 2, 1","3, 4, 1, 2",a,General Hindi,1
"Assertion (A): The use of Braj Bhasha declined significantly in the 20th century.
Reason (R): Khari Boli gained prominence as the standard literary dialect of Hindi.",Both A and R are true and R is the correct explanation of A.,Both A and R are true but R is NOT the correct explanation of A.,A is true but R is false.,A is false but R is true.,a,General Hindi,1
Which of the following is NOT a synonym of the word 'पहाड़' (mountain)?,अचल,गिरी,अवनि,शैल,c,General Hindi,1
Identify the correct संधि विच्छेद (Sandhi Vichched) for the word 'प्रत्येक'.,प्रति + एक,प्र + त्येक,प्रति + ऐक,प्रत् + एक,a,General Hindi,1
Which of the following sentences uses a मुहावरा (idiom) incorrectly?,उसने परीक्षा में सफलता प्राप्त करने के लिए दिन-रात एक कर दिया।,चोर पुलिस को देखकर नौ दो ग्यारह हो गया।,राम ने श्याम को अपनी बातों से आकाश-पाताल एक कर दिया।,महंगाई के कारण आम आदमी की कमर टूट गई।,c,General Hindi,1
"What is the रस (Rasa) in the following line: 'उधो, मन न भए दस बीस। एक हुतो सो गयो स्याम संग, को अवराधै ईस।।'",शृंगार रस,हास्य रस,वीभत्स रस,वियोग श्रृंगार रस,d,General Hindi,1
Identify the अलंकार (Alankar) in the following line: 'चरण कमल बंदौ हरिराई'.,उपमा,रूपक,उत्प्रेक्षा,अतिशयोक्ति,b,General Hindi,1
Which of the following is a तद्भव (Tadbhav) word derived from the Sanskrit word 'अग्नि'?,अग्नि,आग,अनल,अग्निहोत्र,b,General Hindi,1
"Consider the following statements regarding the Uttar Pradesh State Biodiversity Board (UPSBB):
1.  The UPSBB was established in 2008 under Section 22 of the Biological Diversity Act, 2002.
2.  The primary function of UPSBB is to advise the state government on matters related to biodiversity conservation, sustainable use, and equitable sharing of benefits arising out of the use of biological resources.
3.  The UPSBB is headquartered in Lucknow.

Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d,Uttar Pradesh Special Knowledge,1
"Match List I (Districts of Uttar Pradesh) with List II (Main Industrial Products) and select the correct answer using the code given below the lists:

List I
(A) Agra
(B) Firozabad
(C) Moradabad
(D) Bhadohi

List II
1. Brassware
2. Carpets
3. Leather Goods
4. Glass Bangles

Codes:
","A-3, B-4, C-1, D-2","A-4, B-3, C-2, D-1","A-1, B-2, C-3, D-4","A-2, B-1, C-4, D-3",a,Uttar Pradesh Special Knowledge,1
"Arrange the following Uttar Pradesh-based institutions in chronological order of their establishment:
1. Bhatkhande Music Institute
2. State Lalit Kala Akademi
3. Uttar Pradesh Sangeet Natak Akademi
4. Bharatendu Natya Akademi
Select the correct answer using the code given below:",1-2-3-4,2-3-4-1,4-3-2-1,3-4-1-2,a,Uttar Pradesh Special Knowledge,1
"Assertion (A): Uttar Pradesh has a high population density.
Reason (R): The fertile Gangetic plain supports intensive agriculture and related activities.
In the context of the above two statements, which one of the following is correct?","Both A and R are true, and R is the correct explanation of A.","Both A and R are true, but R is NOT the correct explanation of A.","A is true, but R is false.","A is false, but R is true.",a,Uttar Pradesh Special Knowledge,1
Which of the following districts of Uttar Pradesh does NOT share a border with Nepal?,Balrampur,Siddharthnagar,Kushinagar,Shravasti,c,Uttar Pradesh Special Knowledge,1
"The Uttar Pradesh government launched the 'One District, One Product' (ODOP) scheme. What is the primary objective of this scheme?",To promote tourism in each district.,To encourage the development of a specific product unique to each district.,To improve infrastructure in each district.,To provide employment opportunities to the youth in each district.,b,Uttar Pradesh Special Knowledge,1
Which of the following is NOT a major canal system in Uttar Pradesh?,Upper Ganga Canal,Lower Ganga Canal,Sharda Canal,Yamuna Canal,d,Uttar Pradesh Special Knowledge,1
"The Dudhwa National Park, a major protected area in Uttar Pradesh, is primarily known for the conservation of which animal?",Asiatic Lion,One-Horned Rhinoceros,Bengal Tiger,Snow Leopard,c,Uttar Pradesh Special Knowledge,1
Which of the following folk dances is NOT typically associated with the Braj region of Uttar Pradesh?,Raslila,Charkula,Khayal,Nautanki,d,Uttar Pradesh Special Knowledge,1
Which of the following cities in Uttar Pradesh is known as the 'City of Perfumes' or 'Attar City'?,Kanpur,Varanasi,Lucknow,Kannauj,d,Uttar Pradesh Special Knowledge,1
Which of the following is NOT a characteristic of fifth-generation computers?,Artificial Intelligence,Parallel Processing,Vacuum Tubes,Use of ULSI Technology,c,Elementary Knowledge of Computers,1
"Consider the following statements regarding cloud computing:
1. It provides on-demand access to shared computing resources.
2. It always requires a dedicated private network connection.
3. It follows a pay-as-you-go pricing model.
Which of the statements given above is/are correct?",1 and 2 only,1 and 3 only,2 and 3 only,"1, 2 and 3",b,Elementary Knowledge of Computers,1
"Arrange the following memory types in ascending order based on their access time (fastest to slowest):
1. Cache Memory
2. Main Memory (RAM)
3. Secondary Storage (Hard Disk)
4. Registers","3, 2, 1, 4","4, 1, 2, 3","1, 4, 2, 3","4, 2, 1, 3",b,Elementary Knowledge of Computers,1
"Match the following List I (Networking Device) with List II (Function):

List I
(A) Router
(B) Switch
(C) Hub
(D) Firewall

List II
(1) Broadcasts data to all connected devices.
(2) Filters network traffic based on pre-defined rules.
(3) Forwards data packets between different networks.
(4) Forwards data packets only to the intended recipient within the same network.","A-3, B-4, C-1, D-2","A-4, B-3, C-2, D-1","A-1, B-2, C-3, D-4","A-2, B-1, C-4, D-3",a,Elementary Knowledge of Computers,1
"Assertion (A): Solid State Drives (SSDs) are generally faster and more durable than Hard Disk Drives (HDDs).
Reason (R): SSDs store data electronically using flash memory, while HDDs store data magnetically on spinning platters.",Both (A) and (R) are true and (R) is the correct explanation of (A),Both (A) and (R) are true but (R) is NOT the correct explanation of (A),(A) is true but (R) is false,(A) is false but (R) is true,a,Elementary Knowledge of Computers,1
Which of the following protocols is used for secure communication over a computer network?,HTTP,FTP,SMTP,HTTPS,d,Elementary Knowledge of Computers,1
What is the primary function of an operating system (OS)?,To provide internet connectivity.,To manage computer hardware and software resources.,To run application software directly.,To create and edit documents.,b,Elementary Knowledge of Computers,1
Which of the following is an example of volatile memory?,ROM,RAM,Hard Disk,SSD,b,Elementary Knowledge of Computers,1
What is the function of a compiler?,To interpret code line by line.,To translate high-level language code into machine code.,To debug errors in the code.,To execute the code directly.,b,Elementary Knowledge of Computers,1
Which of the following is a type of malware that replicates itself to spread to other computers?,Trojan Horse,Spyware,Virus,Adware,c,Elementary Knowledge of Computers,1
Which of the following is NOT a valid IP address?,192.168.1.1,10.0.0.1,256.1.2.3,172.16.0.1,c,Elementary Knowledge of Computers,1
What does the acronym 'GUI' stand for?,General User Interface,Graphical Utility Interface,Graphical User Interface,Global User Interaction,c,Elementary Knowledge of Computers,1
Which of the following file extensions typically indicates an executable file?,.txt,.docx,.exe,.jpg,c,Elementary Knowledge of Computers,1
What is the purpose of a firewall in a computer system?,To speed up internet connection.,To prevent unauthorized access to the system.,To increase the storage capacity of the computer.,To improve the graphics performance.,b,Elementary Knowledge of Computers,1
Which of the following is an example of an open-source operating system?,Windows,macOS,Linux,iOS,c,Elementary Knowledge of Computers,1
